instrument_name,count
OS-150,26
OS-38,519
OS-75,363
OS-II-38,6
OS-II-75,1
UNCLEAR: 1) Narrow Band 150 kHz,2
UNCLEAR: 150,17
"UNCLEAR: 150 broad band, concave",1
UNCLEAR: 150 kHz,3
UNCLEAR: 150 kHz Narrowband,8
UNCLEAR: 150 kHz broadband,1
UNCLEAR: 150 kHz hull mounted ADCP,4
UNCLEAR: 150 kHz narrow band,1
UNCLEAR: 150 narrowband,8
UNCLEAR: 153.6 kHz hull mounted ADCP,1
UNCLEAR: 300 narrow band,1
UNCLEAR: Broad Band 150,5
UNCLEAR: Broadband 150,6
UNCLEAR: DCP4400A,1
UNCLEAR: Direct-Read 150 kHz Narrowband,3
UNCLEAR: NB 150,29
UNCLEAR: Narrow Band 150Khz,2
UNCLEAR: Narrowband,4
UNCLEAR: Narrowband 150,68
UNCLEAR: Narrowband 300,3
UNCLEAR: RDI,10
UNCLEAR: VM-150 and VM-300,22
UNCLEAR: Vessel-Mount 150 kHz Narrowband,1
UNCLEAR: Vessel-mount 150 kHz Narrowband,2
UNCLEAR: Vessel-mounted 150 kHz Narrowband,3
UNCLEAR: narrowband 75 kHz,12
VM-150,910
VM-150-18HP,18
VM-300,21
VM-75,2
Workhorse-1200,1
Workhorse-300,187
Workhorse-Mariner-300,3
Workhorse-Mariner-600,1
