,instrument_name,serial_numbers
0,Direct-Read 150 kHz Narrowband (UNCLEAR),S/N 385
1,OS-75,"S/N 1508 (in-use unit), S/N 10656 (spare unit)"
2,VM-150,127
3,VM-150,177
4,VM-150,177 VM ADCP electronics (serial number 607)
5,VM-150,249
6,VM-150,28 (Transducer)
7,VM-150,500
8,VM-150,ADCP = 536 / XDUC = 449
9,VM-150,Ducer = 275
10,VM-150,"System 15, Transducer 199"
11,VM-150,transducer SN 532
12,VM-150,transducer SN 536; chassis SN 631
13,VM-150,transducer s/n 171
14,VM-150,xduce sn 73
15,VM-150,xducer 275
16,VM-150,xducer 382
17,VM-150,xducer serial no. 382
18,VM-150,xducer sn 173
19,VM-150,xducer sn 382
20,VM-150,xducer sn 73
21,VM-300,H
22,Vessel-Mount 150 kHz Narrowband (UNCLEAR),S/N 385
23,Vessel-mounted 150 kHz Narrowband (UNCLEAR),S/N 355
