,hardware_model count
VM-150,578
Ocean Surveyer 38,517
RD-VM150,166
WorkHorse 300,137
Ocean Surveyor 75,82
VM-150 Narrowband,75
Narrowband 150,68
OS75 narrowband,51
Ocean Surveyer 75,37
Workhorse 300,33
Ocean Surveyor 75 narrowband,32
NB 150,29
OS75 (Ocean Surveyor),24
RD-VM150 Narrow band,24
Ocean Surveyor 75 broadband,23
VM-150 and VM-300,22
Ocean Surveyor OS75,22
OS75,21
VM-150 (NB),20
VM-150 narrowband,20
Ocean Surveryor 75,19
RDI VM150 narrowband,18
Ocean Surveyor 75 narroband,18
NB 150 (VM-150-18HP),18
Workhorse 300; 300 kHz,17
150,17
VM-300,13
Ocean Surveyer 150,12
Ocean Surveyor 75 Broadband,12
narrowband 75 kHz,12
Ocean Surveryor 150,10
RDI,10
150 narrowband,8
150 kHz Narrowband,8
RD-VM300,8
Ocean Surveyor 75 Narrowband,7
Broadband 150,6
Ocean Surveyor II (OS-II 38),6
75KHz Ocean Surveyor narrowband,6
Broad Band 150,5
RD-VM,5
Ocean Surveyor 75 kHz,4
150 kHz hull mounted ADCP,4
Narrowband,4
Workhorse Mariner (300 kHz),3
Narrowband 300,3
150 kHz,3
Direct-Read 150 kHz Narrowband,3
Vessel-mounted 150 kHz Narrowband,3
Ocean Surveyor 38,2
Narrow Band 150Khz,2
Vessel-mount 150 kHz Narrowband,2
VM75 narrowband,2
Ocean Surveyor 150 narroband,2
RDI 75KHz Ocean Surveyor,2
1) Narrow Band 150 kHz,2
VM150,2
Ocean Surveyor 75 kHz Phased Array,2
153.6 kHz hull mounted ADCP,1
OSII75S phased-array,1
300 narrow band,1
Ocean Surveyor 150 narrowband,1
DCP4400A,1
RD-VM150 narrowband,1
Ocean Surveyor 150 broadband,1
75KHz Ocean Surveyor,1
WorkHorse Mariner 600,1
150 kHz broadband,1
150 kHz narrow band,1
RD-VM0150,1
"150 broad band, concave",1
Workhorse 1200,1
Vessel-Mount 150 kHz Narrowband,1
